record_id,raw_score,population_percentile,normalized_score
L103313,0.5417449948234841,0.11958333333333333,413.68018883644703
L104953,0.0009099216404823429,0.9695833333333334,0.2640213407945282
L100134,0.003117812209695606,0.9029166666666667,2.8732691319818002
L105139,0.006603736658240719,0.80625,12.503892388140244
L103502,0.008833745800434544,0.7529166666666667,21.286403715936316
L102165,0.03189488653530867,0.5245833333333333,93.88338912792537
L103710,0.03708996170888609,0.4945833333333333,108.34452237027432
L101776,0.0003257096323713842,0.9904166666666666,0.025649959762432673
L103866,0.1310366895069688,0.27125,259.89927708146433
L104799,0.01566318412820302,0.6579166666666667,44.049444752722835
L101712,0.03924489914068801,0.48625,112.58930222033528
L102586,0.5812393741046493,0.11541666666666667,418.55749041885116
L101467,0.03132501680553866,0.5279166666666667,92.35447829642456
L104711,0.0024114663770163055,0.9279166666666666,1.546057171359564
L103804,0.0028537475137887475,0.9129166666666667,2.2896820657609283
L102149,0.0016350361512887826,0.94625,0.8441591556823482
L102389,0.004901500687377385,0.84875,7.3359293172027265
L101989,0.025304292357377373,0.5770833333333333,71.5501230768481
L100591,0.01720361850592291,0.6429166666666667,48.55592897065531
L105533,0.016089798207411386,0.6520833333333333,45.770825348340644
L104875,0.09185376654051339,0.32375,216.7873962795953
L104234,0.002543837633322906,0.9254166666666667,1.6592204185139963
L102327,0.004710118473390349,0.8545833333333334,6.744949102163702
L104148,0.01081192364543716,0.7145833333333333,29.31590116770424
L100082,0.23530542928490095,0.19125,335.37950399783097
L105697,0.0008979479940665579,0.9704166666666667,0.24953953827849773
L103448,0.004753139315938442,0.85125,7.079263660586861
L102573,0.8724941065412709,0.06208333333333333,484.25633461694355
L105555,0.4050347441063216,0.14125,388.90199754869127
L102208,0.028511167704650637,0.55375,81.02053150677206
L105105,0.06157989577844423,0.39458333333333334,166.16683058834715
L103344,0.596496564146039,0.11208333333333333,422.485619103568
L100940,0.9590997494831207,0.034583333333333334,539.8528021652023
L103332,0.03575780405156189,0.50125,105.02069093815453
L101513,0.004722307758891659,0.8529166666666667,6.910980288691434
