record_id,default,credit_utilization,income,debt_to_income,months_on_book,num_delinquencies_24m,credit_score_proxy,loan_to_value,num_inquiries_6m,payment_history_score,revolving_balance,employment_stability,feat_misc_1,delinquency_rate,utilization_x_dti,region
L102017,0,1.5851186880494843,-0.2419265721873471,1.9345410235974425,-4.544698160167444,-3.9938834595304527,1.4033356561307184,1.976169437893854,1.1535383715066805,1.9065900652096164,1.7587039804163882,0.7052626280166977,-0.287067051142622,-3.9938834595304527,3.0664771293026845,A
L103474,0,-2.813557173456614,0.6823627997613896,0.2030796752709454,1.6528973155414943,0.1853290026802385,-0.0137343264917377,3.88400520345921,1.1448682673150683,0.6505968965501205,-2.218873016788983,0.6402925879315079,-0.240073837687732,0.0698590939025509,-0.5713762771418082,B
L102061,1,1.40932370245386,0.4969289608709583,0.0422946717207621,-3.3101885430314453,0.1835235060482322,0.9948164949176316,-1.0235629948073912,-1.5220068813483902,-0.3764158614853425,0.4520469054150853,1.6989974438822744,-0.9599481375534706,0.1835235060482322,0.059606883343575015,A
L100239,0,2.730214689176457,-1.6359444996386578,-0.7512883329068656,-0.5889825924199994,0.7297243226750161,-0.1968773211017789,-2.078565433149008,-1.970359595874324,-0.8099050822592684,-0.9686286641895484,0.0068262806169654,-0.0618449530435523,0.7297243226750161,-2.0511784423092165,A
L104069,0,2.171679305941019,0.3881456537001488,-0.373560175237867,-4.023727283685525,-3.197340768667757,4.182154706439217,0.0962539070502822,-1.630844812186462,1.6357225413444345,2.5354940257937586,0.3794089774220093,1.1806835525472636,-3.197340768667757,-0.8112529020877763,A
L104029,0,-2.420518608490416,4.765255907587466,-0.9278521465305668,-0.6180181706146051,4.462071638383872,1.7986691082707358,0.8148189964610011,0.8018466917126348,-0.3272675489797774,-2.943251157366727,0.1085970358997134,-2.9898667587007384,4.462071638383872,2.245883386605013,D
L105917,0,1.7432633570609788,4.426638787910637,-0.2538165032881394,1.4955335860811596,2.186616322200091,1.519458198592527,-0.2075058903418199,0.5510427522306337,3.3376494920147164,-3.0642753790757418,0.2288506068841845,-1.1542597915556263,0.8762119389600465,-0.4424690095995608,C
L100805,0,1.268216442787114,0.4469037707381869,1.4126757453126615,-0.9098992809127018,-1.5093588610300437,0.6499019744808057,1.421079859820993,-0.6197501463508108,1.5368677631759853,-0.7691513359840967,0.3071452738497501,-0.9369597299982574,-1.5093588610300437,1.7915786085320586,A
L100214,0,-0.6053263427998861,1.0078715642176144,2.368590403919238,-0.6189014754252358,-1.5463731378672692,2.0237069758444743,6.064183608004721,1.2700315425418305,1.0014769823992855,-4.010846841382047,-1.0952932664010424,-1.932228682426284,-1.5463731378672692,-1.433770166795337,C
L103271,0,3.019248064745412,-0.4455426706160867,3.2704924483833464,-1.4911087657505298,-7.289274156722189,2.5136313434139206,1.9676166901464092,-0.0262614733353253,3.9897682192454216,3.3957609621947618,-2.0280270579042994,0.9860038469832326,-7.289274156722189,9.874427995545902,B
L105167,0,1.782731940137292,0.9474387918362478,0.5817027847449268,-1.4383620295463624,-0.6352683268843415,0.195958357240221,0.4742424195365106,0.2771844111517265,2.3479404030818927,-0.8723810777137523,1.070488999097274,-0.7479343499718405,-0.6352683268843415,1.0370201340315888,C
L104597,0,-1.2123285935948134,1.9854608180694044,0.2371085662083214,-0.2231493659654089,2.021000755564036,0.4284232107035866,1.5212279149098549,1.332805071848284,-0.9097290098809458,-2.125171741765622,0.2008876036927667,-0.6801193512896822,2.021000755564036,-0.287453494600617,A
L101173,0,0.4997993002419579,1.7787968327986092,3.4739464796943667,-0.8313542918526733,-3.73286035526048,1.3137975308216454,4.743415099701601,1.2626840567856412,3.5979929228403624,-1.100635982864613,-0.5874187754693718,-1.4880499139758523,-3.73286035526048,1.7362760196292575,C
L105496,0,0.796654936876497,2.679200161879498,0.5406613283703482,1.8251762962324545,0.9832407528913508,0.3470413743526789,2.437226729252643,-0.2461225048626646,3.526983056858409,-4.299414622894732,-1.5974035545272758,-1.5497853867505675,0.3480281050788096,0.43072051642444276,D
L101958,0,-0.4519829021571266,-1.8202515658216187,-0.8322923547823773,3.9885631715603793,-2.264823367890684,-2.126850883384548,1.5834456156010908,-0.4548592155886092,3.1887521857194607,0.519053238290434,-1.3044140453671431,4.266653057991503,-0.45400314479374765,0.37618191395772776,C
L100317,0,1.7136823807371329,-4.658745655838331,2.326095742860683,-2.819530110038427,-7.69416754566233,2.8704305968054493,4.441666346213934,-0.0223111052193284,0.5107148181970708,1.840792684224093,0.1634619561062414,1.3160241692544692,-7.69416754566233,3.986189290448005,C
L105429,0,-1.0979004652006188,2.543702198097174,-2.9846139731401213,-0.4046379411693213,5.109463616613509,-1.1921879230878776,-1.878216000100092,0.4145673251150915,0.588941709230647,-2.049706752461076,-0.4809888926979691,-0.7844462320332508,5.109463616613509,3.2768090695548064,B
